tau 0.49 V,DTA 0.49 V,tau 0.69 V,DTA 0.69 V,tau 0.89 V,DTA 0.89 V,tau 1.09 V,DTA 1.09 V,tau 1.29 V,DTA 1.29 V,tau 1.49 V,DTA 1.49 V,tau 1.69 V,DTA 1.69 V,tau 1.89 V,DTA 1.89 V
0.000604617144354387,,0.000604617144354387,2.111858289439792e-06,0.000604617144354387,-1.492066638342363e-05,0.000604617144354387,-6.086640537414511e-05,0.000604617144354387,-9.725266039582008e-05,0.000604617144354387,-0.00010840290231289536,0.000604617144354387,-0.00011537177202135382,0.000604617144354387,-0.00011990260928056372
0.0006212526825311837,,0.0006212526825311837,2.693567416196509e-06,0.0006212526825311837,-1.9074135903678567e-05,0.0006212526825311837,-7.794826853706721e-05,0.0006212526825311837,-0.000124602322260637,0.0006212526825311837,-0.00013885674486759775,0.0006212526825311837,-0.0001477653295514537,0.0006212526825311837,-0.00015354596562453389
0.0006383459337136655,,0.0006383459337136655,3.3943588142610563e-06,0.0006383459337136655,-2.4089311492433195e-05,0.0006383459337136655,-9.864744462641341e-05,0.0006383459337136655,-0.00015777329447768545,0.0006383459337136655,-0.0001757780807739051,0.0006383459337136655,-0.00018702940550652312,0.0006383459337136655,-0.0001943141739915704
0.0006559094914947395,,0.0006559094914947395,4.226151075560371e-06,0.0006559094914947395,-3.00562069047332e-05,0.0006559094914947395,-0.00012337825974020975,0.0006559094914947395,-0.000197446795142592,0.0006559094914947395,-0.00021991704545722306,0.0006559094914947395,-0.0002339566524888124,0.0006559094914947395,-0.0002430241912387259
0.0006739562959695529,,0.0006739562959695529,5.198536628565561e-06,0.0006739562959695529,-3.7049506958222855e-05,0.0006739562959695529,-0.00015250744272516439,0.0006739562959695529,-0.00024423407919767085,0.0006739562959695529,-0.000271943010368405,0.0006739562959695529,-0.0002892519965936648,0.0006739562959695529,-0.0003003997179685513
0.000692499643269216,,0.000692499643269216,6.317688975206492e-06,0.000692499643269216,-4.51209673724282e-05,0.000692499643269216,-0.00018632580881246588,0.000692499643269216,-0.00029863228674193544,0.000692499643269216,-0.00033239488709693683,0.000692499643269216,-0.00035347943349516096,0.000692499643269216,-0.0003670155479028547
0.0007115531953568332,,0.0007115531953568332,7.585239191272941e-06,0.0007115531953568332,-5.429159481265596e-05,0.0007115531953568332,-0.00022501889355178213,0.0007115531953568332,-0.0003609785490763263,0.0007115531953568332,-0.00040162951949275803,0.0007115531953568332,-0.00042700680834412087,0.0007115531953568332,-0.0004432398497885218
0.0007311309900930699,,0.0007311309900930699,8.997204807849983e-06,0.0007311309900930699,-6.454418910993925e-05,0.0007311309900930699,-0.0002686386659636852,0.0007311309900930699,-0.0004314056531467192,0.0007311309900930699,-0.0004797718873321994,0.0007311309900930699,-0.0005099525711711441,0.0007311309900930699,-0.0005291785658867097
0.0007512474515786599,,0.0007512474515786599,1.0543067820221875e-05,0.0007512474515786599,-7.58169243070625e-05,0.0007512474515786599,-0.000317078794548585,0.0007512474515786599,-0.000509803098800511,0.0007512474515786599,-0.0005666714475899053,0.0007512474515786599,-0.0006021391456454209,0.0007512474515786599,-0.0006246267885725798
0.000771917400781477,,0.000771917400781477,1.220510485087301e-05,0.000771917400781477,-8.79986880106737e-05,0.000771917400781477,-0.0003700560909305154,0.000771917400781477,-0.0005957876151059616,0.000771917400781477,-0.0006618692021668805,0.000771917400781477,-0.0007030578315364408,0.000771917400781477,-0.0007290322735340126
