freq 0.49 V,real 0.49 V,imag 0.49 V,fit_real 0.49 V,fit_imag 0.49 V,freq 0.69 V,real 0.69 V,imag 0.69 V,fit_real 0.69 V,fit_imag 0.69 V,freq 0.89 V,real 0.89 V,imag 0.89 V,fit_real 0.89 V,fit_imag 0.89 V,freq 1.09 V,real 1.09 V,imag 1.09 V,fit_real 1.09 V,fit_imag 1.09 V,freq 1.29 V,real 1.29 V,imag 1.29 V,fit_real 1.29 V,fit_imag 1.29 V,freq 1.49 V,real 1.49 V,imag 1.49 V,fit_real 1.49 V,fit_imag 1.49 V,freq 1.69 V,real 1.69 V,imag 1.69 V,fit_real 1.69 V,fit_imag 1.69 V,freq 1.89 V,real 1.89 V,imag 1.89 V,fit_real 1.89 V,fit_imag 1.89 V
440.1388897307799,8.746355962241393e-05,-0.0002997379685409073,,,440.1388897307799,9.546543763225674e-05,-0.0002970356226284387,6.649037511983828e-06,-0.0002571346167454734,440.1388897307799,0.0001055601380561765,-0.0011037674376459532,0.00020302385851890507,-0.0011803643285434185,440.1388897307799,0.00018305291194015602,-0.002144000889155404,-0.0006168575346186,-0.0022044706744665955,440.1388897307799,-0.00015123014189787174,-0.0026366029809109354,-0.001495550020927895,-0.002841259054888222,440.1388897307799,-0.0001412243506632361,-0.002835263361054213,-0.0014748334084450326,-0.003276105727097242,440.1388897307799,-0.0003247195228490654,-0.002962806280617138,-0.0014726496751603772,-0.0034082089894328714,440.1388897307799,-0.00025722686335826785,-0.0028668690538603742,-0.001490584909423852,-0.003315598225773849
329.57079373631075,0.00015033441681994462,-0.0003729217602203867,,,329.57079373631075,0.00015451106070544742,-0.0004421934849081744,1.1682688085893006e-05,-0.000359008309089789,329.57079373631075,0.00047829863648553815,-0.0014731308658084146,0.00038391798440680613,-0.0015288288340122341,329.57079373631075,0.00051493755430534,-0.00254326753095938,-0.0004906058582398442,-0.0031878250869197588,329.57079373631075,-1.440318144704655e-05,-0.003421989479067056,-0.0014959926474916452,-0.0043400194835119775,329.57079373631075,-0.00010293126412911176,-0.003770616707563356,-0.001410884968090229,-0.004904449029686291,329.57079373631075,-9.13321281012892e-05,-0.003911058575693837,-0.001379818676918707,-0.00507660470916446,329.57079373631075,-0.0003241563937265238,-0.0039247451424107875,-0.001402416933446399,-0.0049507309960744655
246.7787114890476,-1.6427611769465094e-05,,,,246.7787114890476,2.7514662284190564e-05,-0.00027807393371207526,2.5946172713707738e-05,-0.0004939349618179882,246.7787114890476,0.000780647783088347,-0.0013991666076798941,0.0006534577306744928,-0.0019198889499586588,246.7787114890476,-0.00015898134710625356,-0.0033312058487751095,-0.00014560887767872622,-0.004406190824289407,246.7787114890476,-0.0002497855227036523,-0.005012785505212547,-0.0011828927157970103,-0.006260031689134491,246.7787114890476,0.0005615968888734847,-0.005213293765567175,-0.0009967601448515532,-0.006969113847448221,246.7787114890476,0.00021226695353839437,-0.005106335729495826,-0.0009224997003252118,-0.007179204240764342,246.7787114890476,-0.00012090533786584745,-0.0056963728901997975,-0.0009563802659352166,-0.00700851501636827
184.78497974222927,0.0001450193506210649,-0.0003206348686327358,,,184.78497974222927,0.00022594144640536364,-0.0006083243303967876,5.800647452741511e-05,-0.0006701690851423631,184.78497974222927,0.0008275498728078892,-0.0018754537104397047,0.0010280633868955068,-0.0023385836726267316,184.78497974222927,0.0009939553762052479,-0.004802725758296854,0.000496669012436354,-0.005843327612212784,184.78497974222927,0.00027409472929121656,-0.006311829701791831,-0.000419280048239552,-0.008593004320093594,184.78497974222927,0.0004027791760823995,-0.007151212688426821,-9.101076484469104e-05,-0.009453344632516559,184.78497974222927,0.00031342587428798737,-0.00724799181512044,3.958823730913308e-05,-0.009693857887183719,184.78497974222927,2.0502792593855065e-05,-0.007312488816188557,-1.7728073883917488e-05,-0.009466441786728381
138.3648068032461,9.028793061554332e-05,-0.0003392152083699164,,,138.3648068032461,0.00047543782004958216,-0.0008291376060123446,0.00011975825954677902,-0.0008947344186076037,138.3648068032461,0.001171865523262964,-0.0024614551856740664,0.001519479676701599,-0.002763817217828991,138.3648068032461,0.001307451413353868,-0.0057713861391570295,0.00151060122921232,-0.007458727007102978,138.3648068032461,0.0008341629052647898,-0.008336601649770015,0.0009315270901112904,-0.011290095821945859,138.3648068032461,0.0009813910853126604,-0.009389260552497825,0.001444047309966395,-0.012298513939085556,138.3648068032461,0.0009116436617523099,-0.009918935374955376,0.0016403520920041182,-0.012557107513123545,138.3648068032461,0.0007052313159755536,-0.009682585871181681,0.0015412688783314594,-0.012263294546140224
103.60593046256353,0.0002484132973242737,-0.0009261464533762891,,,103.60593046256353,0.0004780723791571582,-0.0010342921749793147,0.00022621989549600092,-0.0011720990701456467,103.60593046256353,0.0017100139429969906,-0.0029354525661747445,0.0021327377504867114,-0.003169404852294314,103.60593046256353,0.0020465091088202637,-0.007730727347983539,0.0029579872081174647,-0.009187613007913372,103.60593046256353,0.0017044786865367324,-0.010997193147250497,0.0029916882489020528,-0.014259801927615666,103.60593046256353,0.0019039011771301685,-0.012198725826015043,0.0037276477852076517,-0.01540337253054704,103.60593046256353,0.001922881223209779,-0.012814787522250872,0.003992949875353727,-0.015664654128611732,103.60593046256353,0.0019314584677426715,-0.012699913659817957,0.003828106535357323,-0.015300084601730478
77.57889506019765,0.00028030327135819826,-0.0008146989120865957,,,77.57889506019765,0.0007493487512049925,-0.0012419330403376945,0.00039484158975136146,-0.0015027974474590025,77.57889506019765,0.002144385490627322,-0.0035763397960343335,0.0028644156862729815,-0.0035257719766173846,77.57889506019765,0.0032077638221761867,-0.009647249714380166,0.004879486977084763,-0.010943651996171293,77.57889506019765,0.0031509760569933126,-0.014435047782406374,0.005853622313538595,-0.01737045767373524,77.57889506019765,0.0036663922100275007,-0.015977610940144715,0.006845477285206636,-0.01862808435418969,77.57889506019765,0.003804077830744062,-0.016662651720501347,0.007175552027865587,-0.018876454651117765,77.57889506019765,0.003490061766979523,-0.016442346413363854,0.006917156999876141,-0.01844511575609263
58.09015885375258,0.0003861900021513578,-0.0010229269387323093,,,58.09015885375258,0.0006833785480310694,-0.001469342502485089,0.0006442966359096847,-0.0018821555493054986,58.09015885375258,0.0030204457774846236,-0.003873999064444961,0.0037014576946697063,-0.003802273209577247,58.09015885375258,0.004869597661335015,-0.01220448898824206,0.007286968185539873,-0.012624629871739044,58.09015885375258,0.005733451195151767,-0.018630868309006128,0.009565633026107311,-0.0204580118777276,58.09015885375258,0.006507497190000341,-0.020382668633490714,0.010836082713969361,-0.021803479288827823,58.09015885375258,0.007011196914744656,-0.02107792171531203,0.011219068734861695,-0.022026640600190373,58.09015885375258,0.006935109317294247,-0.020875794989890038,0.010838714417358623,-0.021543295904897293
43.497223736375446,0.00044328142525859295,-0.0013343300664007554,,,43.497223736375446,0.001147491441667368,-0.0019031446852141277,0.0009927743205023361,-0.0022993000809197342,43.497223736375446,0.004070123800112534,-0.004290789644041495,0.004620805624234527,-0.003969975313139699,43.497223736375446,0.0074354470674863555,-0.014396533874603762,0.010157982171844694,-0.014120892853620583,43.497223736375446,0.009249424443581173,-0.023245364013343928,0.014120549826684932,-0.0233389496494701,43.497223736375446,0.010803870739496997,-0.025189788484638112,0.015680936389626567,-0.024745108513234408,43.497223736375446,0.011616500098671205,-0.025799291187568716,0.01609879893776056,-0.024937639890074022,43.497223736375446,0.011557738439302644,-0.02563815546508393,0.015571685930133599,-0.024429085699472303
32.57020655659786,0.0008841667087867585,-0.0017667360698084566,,,32.57020655659786,0.0014068944199717318,-0.0027256956663851348,0.0014558579813475604,-0.00273664486177718,32.57020655659786,0.0051796223622154886,-0.004312553214607565,0.005590027810476664,-0.004004640298835975,32.57020655659786,0.010928471684213395,-0.016462887321028966,0.013433505636110895,-0.015325828721012876,32.57020655659786,0.01450151115960809,-0.027811229191524293,0.01944950518848686,-0.02582731166227676,32.57020655659786,0.01650830336044968,-0.030041159779952323,0.02130011222133959,-0.02727075571331088,32.57020655659786,0.017809237576203653,-0.03013916519598678,0.021731660811464562,-0.027437048128820935,32.57020655659786,0.017706167289195895,-0.0297972734662989,0.02104133952590208,-0.026941741841936998
